"","word","freq"
"風俗は嫌。キャバじゃ稼ぐ自信ない。","風俗は嫌。キャバじゃ稼ぐ自信ない。",4
"風邪をひいたときに無性に寂しくなる。","風邪をひいたときに無性に寂しくなる。",4
"孤独","孤独",4
"単身","単身",4
"裏アカ男子と繋がりたい","裏アカ男子と繋がりたい",4
"6年目突入🎉「第12期生」","6年目突入🎉「第12期生」",4
"キャバクラとも風俗とも違う","キャバクラとも風俗とも違う",4
"健全…","健全…",4
"平日可能な元気で女子力高い方大募集‼️","平日可能な元気で女子力高い方大募集‼️",4
"秋葉原のお散歩＆添い寝リフレのみるきーろりっくで一緒に働いてみませんか❓","秋葉原のお散歩＆添い寝リフレのみるきーろりっくで一緒に働いてみませんか❓",4
"ハイボール","ハイボール",4
"av女優…","av女優…",4
"いつでも気軽に連絡待ってます。","いつでも気軽に連絡待ってます。",4
"金欠。お金貯めたい。奨学金のため。そんな時にお金を稼ぎたい女の子の為になれたら、と思いスカウトしてます。親身に親切に、をモットーに！","金欠。お金貯めたい。奨学金のため。そんな時にお金を稼ぎたい女の子の為になれたら、と思いスカウトしてます。親身に親切に、をモットーに！",4
"今日の晩御飯","今日の晩御飯",4
"わらかる","わらかる",4
"piano","piano",4
"ピアノ","ピアノ",4
"これを数回繰り返す時がある。","これを数回繰り返す時がある。",4
"洗濯→取り出して干すのを忘れる→気づいた時には臭くなっている→洗濯","洗濯→取り出して干すのを忘れる→気づいた時には臭くなっている→洗濯",4
"節約生活","節約生活",4
"オリーブノート","オリーブノート",4
"八王子","八王子",4
